acronym,group
NCAM1,brain
NCAM2,brain
NCAN,brain
NCDN,brain
NDP,brain
NDRG2,brain
NDRG3,brain
NDRG4,brain
NDST3,brain
NDST4,brain
NEBL,brain
NECAB1,brain
NECAB2,brain
NEFH,brain
NEFM,brain
NEGR1,brain
NELL1,brain
NELL2,brain
NETO1,brain
NEU2,brain
NEU4,brain
NEUROD1,brain
NEUROD2,brain
NEUROD4,brain
NEUROD6,brain
NEUROG2,brain
NEUROG3,brain
NFASC,brain
NGB,brain
NGEF,brain
NHLH1,brain
NHLH2,brain
NIPA1,brain
NIPAL4,brain
NKAIN1,brain
NKAIN2,brain
NKAIN3,brain
NKAIN4,brain
NKIRAS1,brain
NKX1-2,brain
NKX2-1,brain
NKX2-2,brain
NKX2-8,brain
NKX6-2,brain
NLGN1,brain
NLGN2,brain
NLGN3,brain
NLGN4X,brain
NLGN4Y,brain
NLRP10,brain
NMB,brain
NMBR,brain
NME5,brain
NMNAT2,brain
NNAT,brain
NOG,brain
NOL4,brain
NOS1,brain
NOS1AP,brain
NOVA1,brain
NOVA2,brain
NPAS1,brain
NPAS3,brain
NPAS4,brain
NPB,brain
NPBWR1,brain
NPBWR2,brain
NPFFR1,brain
NPHS2,brain
NPM2,brain
NPPA,brain
NPPC,brain
NPSR1,brain
NPTX1,brain
NPTX2,brain
NPTXR,brain
NPY,brain
NPY2R,brain
NPY5R,brain
NR0B1,brain
NR2E1,brain
NRAP,brain
NRCAM,brain
NRG3,brain
NRGN,brain
NRIP3,brain
NRN1,brain
NRSN1,brain
NRSN2,brain
NRXN1,brain
NRXN2,brain
NRXN3,brain
NSF,brain
NT5C1A,brain
NT5DC3,brain
NTN3,brain
NTNG1,brain
NTNG2,brain
NTRK2,brain
NTRK3,brain
NTSR1,brain
NTSR2,brain
NUAK1,brain
NUDT10,brain
NUDT11,brain
NWD1,brain
NXPH1,brain
NXPH2,brain
NXPH3,brain
NXPH4,brain
NYX,brain
OBP2B,brain
OCA2,brain
OCM2,brain
ODF1,brain
OGDHL,brain
OLFM1,brain
OLFM2,brain
OLFM3,brain
OLIG1,brain
OLIG2,brain
OLR1,brain
OMG,brain
ONECUT1,brain
ONECUT2,brain
OPALIN,brain
OPCML,brain
OPHN1,brain
OPN4,brain
OPN5,brain
OPRD1,brain
OPRK1,brain
OPRL1,brain
OPRM1,brain
OPTC,brain
OR10A4,brain
OR10G4,brain
OR10H1,brain
OR10H2,brain
OR10H5,brain
OR13C3,brain
OR13D1,brain
OR13J1,brain
OR14I1,brain
OR1E1,brain
OR1F1,brain
OR1G1,brain
OR1L1,brain
OR1L3,brain
OR1Q1,brain
OR2H2,brain
OR2K2,brain
OR2L13,brain
OR2L2,brain
OR2M4,brain
OR2T10,brain
OR2T33,brain
OR2T4,brain
OR2T8,brain
OR2W3,brain
OR3A2,brain
OR4F21,brain
OR4N2,brain
OR4N4,brain
OR4N5,brain
OR51B4,brain
OR51G2,brain
OR52I1,brain
OR52K1,brain
OR52W1,brain
OR5AK2,brain
OR5B12,brain
OR5D18,brain
OR6A2,brain
OR7A5,brain
OR7D2,brain
OR8D4,brain
OR9A2,brain
OSBP2,brain
OSBPL6,brain
OSTN,brain
OTOL1,brain
OTOS,brain
OTUD7A,brain
OTX1,brain
OXT,brain
OXTR,brain
P2RX3,brain
P2RX6,brain
P2RX7,brain
P2RY12,brain
PABPC1L2A,brain
PABPC1L2B,brain
PACSIN1,brain
PADI2,brain
PAH,brain
PAIP2B,brain
PAK1,brain
PAK6,brain
PALM,brain
PALM2,brain
PALM2-AKAP2,brain
PANX2,brain
PAQR4,brain
PAQR6,brain
PAQR8,brain
PAQR9,brain
PATE1,brain
PATE2,brain
PAX1,brain
PAX2,brain
PAX4,brain
PAX6,brain
PAX7,brain
PBOV1,brain
PCBP3,brain
PCDH10,brain
